ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
110001,202112,4318,11668,2861,8954,632,2126,988,3125,1620,5251
110002,202112,14454,36161,10417,29374,2719,8176,2623,7495,5342,15671
110003,202112,678,1960,512,1614,131,426,160,464,291,890
110004,202112,13487,33704,8976,25911,1789,5559,2727,7737,4516,13296
110005,202112,2697,6809,1875,5485,401,1258,484,1522,885,2780
110006,202112,1785,4885,1096,3435,165,564,217,652,382,1216
110007,202112,1403,3512,896,2654,288,889,210,767,498,1656
110008,202112,3751,9484,2733,8045,348,943,1709,5507,2057,6450
110009,202112,4819,12905,3032,9642,640,2168,1098,3493,1738,5661
110010,202112,8509,25333,6303,21233,1327,4472,2953,11007,4280,15479
110011,202112,7898,20220,5340,15692,1655,5199,732,2233,2387,7432
110012,202112,17134,41548,10369,29954,2274,7057,1117,3362,3391,10419
110013,202112,5897,16309,4073,12738,1539,5182,432,1482,1971,6664
110014,202112,4201,10736,2840,8143,558,1701,1221,3398,1779,5099
110015,202112,6184,15428,3783,10895,743,2382,1033,2619,1776,5001
110018,202112,4127,10125,2433,7200,418,1434,606,1809,1024,3243
110020,202112,84463,193392,61495,162321,14949,40039,23003,68308,37952,108347
110025,202112,5687,13340,3802,10156,702,2008,1774,4652,2476,6660
110026,202112,579,1421,411,1171,94,294,151,475,245,769
110028,202112,7759,18959,4737,13625,1066,3408,582,1662,1648,5070
110029,202112,1701,4068,1005,2870,207,601,374,1091,581,1692
110030,202112,14288,32145,8711,23832,1813,5789,1158,3463,2971,9252
110032,202112,3700,10006,2217,6915,695,2199,350,1197,1045,3396
110033,202112,3964,11845,2973,9998,986,3380,723,2735,1709,6115
110034,202112,3496,7987,2300,6349,753,2384,644,1958,1397,4342
110037,202112,1782,5095,1289,4191,300,975,523,1756,823,2731
110040,202112,3228,8614,2316,6973,582,1885,697,2019,1279,3904
110045,202112,5201,14407,3727,11723,991,3376,1134,3729,2125,7105
110050,202112,1895,4985,1284,3907,398,1341,153,422,551,1763
110060,202112,965,2762,646,2013,165,539,149,450,314,989
110070,202112,1695,5047,1198,3941,319,1124,245,747,564,1871
110080,202112,7032,15829,5275,13721,1121,2824,2845,8056,3966,10880
110090,202112,631,1678,430,1317,81,260,123,383,204,643
110092,202112,1378,3828,963,3050,199,629,429,1465,628,2094
110094,202112,3095,8803,2238,7136,841,2892,213,721,1054,3613
110100,202112,1827,5185,1412,4395,424,1399,490,1567,914,2966
110110,202112,1922,5012,1361,4131,453,1465,255,872,708,2337
110120,202112,1400,3860,1046,3176,241,794,353,1055,594,1849
110130,202112,3060,7378,1767,4981,133,397,175,423,308,820
110140,202112,2385,6697,1674,5273,362,1211,517,1640,879,2851
110143,202112,1447,3843,1021,3021,316,955,171,516,487,1471
110145,202112,1021,2589,601,1788,149,449,198,631,347,1080
110146,202112,527,1331,369,1080,72,178,177,556,249,734
110147,202112,820,2050,522,1487,64,202,214,532,278,734
110148,202112,1027,2733,496,1579,122,448,59,180,181,628
110149,202112,3548,9128,2347,7190,798,2582,460,1534,1258,4116
110150,202112,2966,7185,1889,5570,581,1937,375,1288,956,3225
110155,202112,843,2385,596,1803,120,403,212,573,332,976
110160,202112,1559,4608,1133,3677,330,1095,239,800,569,1895
110170,202112,2272,5634,1442,4109,241,742,773,2090,1014,2832
110175,202112,1954,5336,1347,4156,257,781,479,1565,736,2346
110180,202112,1575,4112,1101,3179,134,418,583,1643,717,2061
120001,202112,3603,10040,2910,9009,502,1654,1764,5575,2266,7229
120005,202112,2048,7542,1865,7285,162,635,1457,5876,1619,6511
120010,202112,5661,16010,4810,14783,440,1258,3571,11313,4011,12571
120013,202112,2465,7934,2166,7567,523,1741,1212,4628,1735,6369
120017,202112,2790,8226,2407,7646,411,1264,1444,4924,1855,6188
120020,202112,16270,58904,14960,56463,955,3847,12059,45806,13014,49653
120025,202112,3438,9064,2782,8290,339,1010,2000,6090,2339,7100
120030,202112,6747,25834,6253,24940,388,1747,4854,19664,5242,21411
