NOME MUNICIPIO,MES REFERENCIA,UF,VALOR PARCELA,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob,total
ANAPOLIS,202101,GO,40.0,36213,96676,25168,78564,7448,26665,2259,6433,9707,33098,1
ANAPOLIS,202102,GO,40.0,36397,97075,25262,78763,7449,26611,2278,6483,9727,33094,1
ANAPOLIS,202103,GO,40.0,36765,97920,25533,79426,7441,26467,2354,6681,9795,33148,1
ANAPOLIS,202104,GO,40.0,37053,98457,25753,79854,7433,26382,2412,6806,9845,33188,1
ANAPOLIS,202105,GO,40.0,37427,99274,26014,80419,7433,26302,2508,7075,9941,33377,1
ANAPOLIS,202106,GO,40.0,37873,100276,26270,81001,7467,26304,2576,7263,10043,33567,1
ANAPOLIS,202107,GO,40.0,38346,101297,26566,81657,7504,26369,2624,7365,10128,33734,1
ANAPOLIS,202108,GO,40.0,38609,101842,26748,82024,7512,26345,2659,7437,10171,33782,1
ANAPOLIS,202109,GO,40.0,38804,102226,26835,82185,7465,26122,2676,7484,10141,33606,1
ANAPOLIS,202110,GO,40.0,39219,103180,27097,82855,7473,26085,2676,7470,10149,33555,1
ANAPOLIS,202111,GO,40.0,39553,103499,27221,82773,7384,25604,2768,7702,10152,33306,1
ANAPOLIS,202112,GO,40.0,40505,105508,27909,84342,7445,25671,2837,7857,10282,33528,1
ANTONIO GONCALVES,202101,BA,25.0,2963,8033,2449,7194,77,284,2012,5852,2089,6136,1
ANTONIO GONCALVES,202102,BA,25.0,2980,8071,2467,7237,74,269,2028,5890,2102,6159,1
ANTONIO GONCALVES,202103,BA,25.0,2998,8105,2484,7268,74,269,2045,5920,2119,6189,1
ANTONIO GONCALVES,202104,BA,25.0,3015,8139,2501,7298,73,263,2062,5956,2135,6219,1
ANTONIO GONCALVES,202105,BA,25.0,3041,8166,2523,7319,76,267,2078,5966,2154,6233,1
